id	qid1	qid2	question1	question2	is_duplicate	
271345	389413	389414	Do you think I can get into MIT(pls read the details)?	Do you think I'll get into MIT?	0	0	0.77344185
268919	150271	386568	Why is the firm's marginal cost curve equal supply curve?	How can supply curve tell about marginal cost?	1	0	0.9807294
200725	37131	302569	How can you find the molar mass of deuterium?	How do you find the molar mass of ionic compounds?	0	0	0.9931805
274679	71800	195143	What are 10 shocking facts about Ancient Rome?	Did Ancient Rome know anything about America?	0	1	0.8832088
10829	20950	20951	What are the best massage parlours in NCR Delhi for happy ending?	Which is the best sweet shop in Delhi/NCR?	0	0	0.9855478
151605	85644	238350	What have you learned from your life?	What did you learn from your life experiences?	0	1	0.74486864
53291	31894	56706	How can I see someone's private instagram account?	How do I view someones's private instagram pictures?	1	1	0.92152256
275115	393850	393851	would/does the atmosphere thermally expand with rising global temperature such as the ocean or is there some mitigating factor to the expansion?	As we convert solid (coal) and liquid (oil) fuels into gases through combustion, does the volume of the Earth's atmosphere expand? In other words, are we pushing the molecules in the upper atmosphere even further away?	0	0	0.99969375
261724	377915	377916	What is the need for socket programming, and what are its advantages?	Why do we need Internet sockets?	0	0	0.9347384
313994	438652	200944	Is elementary OS overrated (in any way)?	What are the pros and cons Ubuntu and Elementary OS?	0	0	0.98141944
206494	24704	121134	What were the major contributions of the political leaders during WW1, and how are the compared to the ones during the Second World War?	Who were the leaders during WW1, and how are they compared to the leaders during other major armed conflicts?	0	0	0.9986387
283231	403298	403299	What is the difference between fat and calories?	What is the difference between kilocalories and calories?	0	1	0.7751295
228585	337690	337691	Will .2 grams of meth show up in a urine test 99 hours after consumed?	Does meth show on urine test the same day you use?	0	0	0.9441099
107486	82601	91573	What would happen if America became a communist country?	What would happen if the USA became a communist country?	1	1	0.77545404
46610	83352	83353	What song do you like to sing along to most?	What is one song you can't help but sing along to when it comes on?	1	0	0.8813343
193521	43648	293450	I have a drug test at 3 next tuesday, its friday. I stopped smoking meth today. will I pass my urine test?	I've been smoking meth for about a year. How long will it be before I can pass a blood test?	1	0	0.8436302
153193	6552	19789	Why do so many people ask questions on Quora.com when they could easily find the answers themselves online?	Why do people ask basic questions instead of searching them?	1	1	0.8526193
37160	67660	67661	What is the age when a person should ideally retire?	What do you think is the best age to retire?	1	1	0.5789825
300897	423741	423742	What do people in India think of the Cauvery river water dispute?	What can be the best possible solution to Cauvery river water sharing issue between Karnataka and Tamil Nadu?	0	0	0.6261222
26894	50000	50001	How safe are the neighborhoods of Boston?	How safe is Boston?	1	0	0.78782433
176601	271682	271683	What is the square root of 1?	What is the square root of 1-i?	0	0	0.9329133
313594	438185	438186	Which is the best institute in Bangalore for IEEE final year projects?	What is the best concept in cloud computing for a final year project (IEEE)?	0	0	0.96773005
354520	101174	286872	What a ghost can do?	What is a ghost?	0	1	0.62746376
263573	45418	72957	What is the best book for learning Java?	What would be the best book to begin with for Java?	1	1	0.73020077
164180	255173	255174	What exactly is poetry?	Is there any unlimited plan for toll-free to toll-free forwarding?	0	0	0.820931
241647	353682	353683	When a guy says that he wants to have sex with you, does that mean he only wants to have sex?	What does it mean when a guy says he really likes you but doesn't want anything casual with you?	0	0	0.6001352
214015	319499	245363	What's the difference between cd and DVD?	What is difference between CD and DVD?	1	0	0.8408589
69040	14695	33427	How can I lose weight effectively?	How do I lose weight from 70 to 50?	1	1	0.9278853
11851	22871	22872	How much does a MRI or CT scan of a head cost?	How much does a CT scan for the head cost?	1	0	0.9845361
384196	331910	154680	Does masturbation causes pimples?	How bad is masturbation and what are the bad effects?	1	0	0.72779405
68162	117845	117846	How do I merge Informatica Code?	How do I merge code in Informatica?	1	0	0.86200255
208504	312519	312520	LeEco Le Max2 vs OnePlus 3, which one should you buy?	How good is LeEco Le 2?	0	0	0.99526584
144750	20628	6099	What should I do to earn money online?	I'm 18. How can I make money online?	1	1	0.9896938
271690	364737	335308	What are the best techniques for off-page SEO?	What are the best techniques used in Off Page SEO?	1	0	0.79792017
223100	330837	330838	What are the best home remedies to get rid of cockroaches?	What is the best home remedy to get rid of cockroaches?	1	1	0.76763594
136744	2166	218101	What makes India different from all other countries in the world?	Why is India unique? What does India have that other countries don't?	1	1	0.90573573
206028	12353	47189	Why do we forget dreams so quickly?	Why do we forget our dreams so quickly?	1	1	0.8426987
401278	534667	502401	What are some determinants of a demanding market?	What determines demand?	0	0	0.8952499
344499	472732	472733	What is the best category to monetize in the iOS App Store?	Is the mind largely a recursive phenomena? What are the arguments for and against the mind being a recursive structure?	0	0	0.9416467
323555	449527	335910	Why does alkoxide ion acts as a base in alcoholic medium?	A fair coin is flipped ten times. What is the probability of getting exactly 5 heads?	0	0	0.92328495
168465	80588	158630	If you are told that you have only 24 hours to live how you will spend it? With whom?	If you had only 24 hours left to live, what would you do?	1	0	0.697531
321504	60213	447224	What is the difference between a 6/6, 6/9, etc., eye vision?	Can I pass my medical eye checkup with 6/9-2?	0	0	0.9887756
148282	233845	233846	How do I become a professional wingsuit pilot?	How does one become a pilot for an airline?	0	0	0.5896575
148667	1708	73053	Why is my puppy vomiting white foam?	What should I do if my puppy throws up white foam?	1	1	0.6234454
329785	456473	456474	I have had two failed marriages. I've been alone for two years. How do I meet someone else? I'm scared.	How do I become a bodybuilder?	0	0	0.7873111
294953	416937	416938	Does Mike Wazowski blink or wink?	Does Mike Wazowski blinks or wink?	1	0	0.5358069
274229	392831	392832	How do I get night shift?	What are some tips for working a night shift?	0	0	0.7396031
350105	478818	478819	What does it feel like to be stabbed with a knife?	How does it feel to be stabbed?	0	0	0.8418056
141165	116891	171986	How can I see followers on Facebook?	What is the best way to grow a Facebook fan page?	0	0	0.7547661
169323	79410	262069	What should I think about a husband who doesn't allow his wife to gym or driving because it has both men and women?	How can I make free mass P2P ACH payments?	0	0	0.9956665
124540	71277	1114	How do you start a private equity firm?	How do I start a successful private equity firm?	1	0	0.5394193
380362	511974	134869	How should I prepare for NEET-2017 in 6 months? Which reference books I need to refer apart from my coaching material?	I am going to write the CAT 2018 and for that I wanted to start preparing from now. From which topic do I need to start the preparation? What are the books that I need to refer?	0	0	0.93661726
39496	573	71585	How successful was the Delhi's Odd-even plan?	"Would the ""odd even""policy of delhi govt. efficiently work in India?"	0	0	0.9785069
7107	13896	8380	Is it possible to start from level 0 and score 500+ in NEET in 4 months?	How do I prepare for AIPMT with 3-4 months remaining?	0	0	0.96281195
267931	385393	96613	What do you write in your journal?	What book do you use as your journal and why?	0	1	0.57585716
276189	161934	194863	Will the Airtel 4g SIM card work in 2G phones? If not, will it at least work in 3G phones?	Does an Airtel 4G SIM card work on all 3G phones?	0	0	0.9249905
194118	294220	225116	How was Chinese and Japanese look before the nuclear attack?	How was Chinese and Japanese look like before the nuclear attack?	1	1	0.6254887
172529	49293	77861	How can you make money with Instagram?	How do people make money from Instagram?	1	1	0.8777444
106151	174912	129245	Why didn't Spain ally with Germany during WW2?	Why did the Nazis hate Jewish people to the point of committing genocide?	0	0	0.9797982
266296	297175	383450	What are some good gift ideas for my parents from my first salary?	What can I gift my girlfriend with my first salary?	0	0	0.6793908
158663	247829	247830	What is the procedure to get license as government contractor for mechanical engineer in Maharashtra?	How can one get a general contractor license in New Jersey?	0	0	0.9951638
159645	29700	69441	How do I post a question in quora?	How can I ask my question on Quora?	1	1	0.69475293
248374	4052	20542	How can I continue to improve my English?	How can I improve fluency in English?	1	1	0.9849525
47732	85195	85196	How do you convince a conservative Muslim family to allow an inter-religion marriage with a Hindu?	Is the court marriage of a Hindu boy and Muslim girl acceptable in Islam or not (without changing religions)?	0	0	0.99685955
229208	338453	338454	During The Purge, it is legal to steal stuff, but afterwards it is illegal to own stolen property, could the police come after you?	What would you do if the purge was real?	0	0	0.92841446
